"Categoria","Index","Title","Type","File","SourceUrl","ExcludeReason","Included"
"coolers","6","GRASA SILICONADA PASTERMAX PARA CPU A90 (GRIS) PASTA TERMICA","Pasta / pad termico","cooler-06.html","https://quantumhardstore.com/productos/grasa-siliconada-pastermax-para-cpu-a90-gris-pasta-termica-18vzs/","Pasta termica/pad","False"
"coolers","13","GRASA SILICONADA PASTERMAX PARA CPU B30 (BLANCA) PASTA TERMICA","Pasta / pad termico","cooler-13.html","https://quantumhardstore.com/productos/grasa-siliconada-pastermax-para-cpu-b30-blanca-pasta-termica-1a6zm/","Pasta termica/pad","False"
"coolers","14","GRASA SILICONADA PASTERMAX PARA CPU G60 (GRIS) PASTA TERMICA","Pasta / pad termico","cooler-14.html","https://quantumhardstore.com/productos/grasa-siliconada-pastermax-para-cpu-g60-gris-pasta-termica-184jk/","Pasta termica/pad","False"
"coolers","25","PAD TERMICO EN MASA CARBONO PASTERMAX 30GRS","Pasta / pad termico","cooler-25.html","https://quantumhardstore.com/productos/pad-termico-en-masa-carbono-pastermax-30grs-o2nsc/","Pasta termica/pad","False"
"coolers","44","Controlador Streaming Modular Cooler Master MasterHUB Stream Kit 15 Teclas Faders y Rollers USB","Accesorio","cooler-44.html","https://quantumhardstore.com/productos/controlador-streaming-modular-cooler-master-masterhub-stream-kit-15-teclas-faders-y-rollers-usb-1vyun/","Accesorio","False"
"coolers","45","Cooler Master 3-Knob Module for MasterHUB","Accesorio","cooler-45.html","https://quantumhardstore.com/productos/cooler-master-3-knob-module-for-masterhub-1w930/","Accesorio","False"
"coolers","46","GRASA SILICONADA COOLER MASTER CRYOFUSE 7","Pasta / pad termico","cooler-46.html","https://quantumhardstore.com/productos/grasa-siliconada-cooler-master-cryofuse-7-4vnn1/","Pasta termica/pad","False"
"coolers","47","GRASA SILICONADA COOLER MASTER CRYOFUSE 5 YELLOW","Pasta / pad termico","cooler-47.html","https://quantumhardstore.com/productos/grasa-siliconada-cooler-master-cryofuse-5-yellow-1q4rq/","Pasta termica/pad","False"
"coolers","49","ARGB Cooler Master LED Controller Gen2","Accesorio","cooler-49.html","https://quantumhardstore.com/productos/argb-cooler-master-led-controller-gen2-133d5/","Accesorio","False"
"coolers","53","Cable Riser Cooler Master PCIe 4.0 x16 300mm V2 White","Cable riser PCIe","cooler-53.html","https://quantumhardstore.com/productos/cable-riser-cooler-master-pcie-4-0-x16-300mm-v2-white-10vrf/","Cable riser PCIe","False"
"coolers","54","Cable Riser Cooler Master PCIe 4.0 x16 -300mm V2 Black","Cable riser PCIe","cooler-54.html","https://quantumhardstore.com/productos/cable-riser-cooler-master-pcie-4-0-x16-300mm-v2-black-t2x23/","Cable riser PCIe","False"
"coolers","58","GRASA SILICONADA COOLER MASTER HIGH PERFORMANCE","Pasta / pad termico","cooler-58.html","https://quantumhardstore.com/productos/grasa-siliconada-cooler-master-high-performance-zqupe/","Pasta termica/pad","False"
"coolers","61","KIT COOLER MASTER SFX GOLD 850W + TRUST MATT PRIMO WHITE","Accesorio","cooler-61.html","https://quantumhardstore.com/productos/kit-cooler-master-sfx-gold-850w-trust-matt-primo-white-vwnzv/","Accesorio","False"
"coolers","62","Joystick Cooler Master Storm Controller Pc Black","Accesorio","cooler-62.html","https://quantumhardstore.com/productos/joystick-cooler-master-storm-controller-pc-black-dp9z2/","Accesorio","False"
"coolers","81","CABLE ARGB COOLER MASTER A-RGB 1-TO-3 SPLITTER (MFX-AWHN-3NNN1-R1)","Accesorio","cooler-81.html","https://quantumhardstore.com/productos/cable-argb-cooler-master-a-rgb-1-to-3-splitter-mfx-awhn-3nnn1-r1-k9xwt/","Accesorio","False"
"coolers","87","ADAPTADOR AEROCOOL MIRAGE PARA SOCKET 1700","Adaptador socket","cooler-87.html","https://quantumhardstore.com/productos/adaptador-aerocool-mirage-para-socket-1700-x63g6/","Adaptador socket","False"
"coolers","89","BASE COOLER TRUST AURA STAND NOTEBOOK GXT1126","Base cooler notebook","cooler-89.html","https://quantumhardstore.com/productos/base-cooler-trust-aura-stand-notebook-gxt1126-cdy98/","Base cooler notebook","False"
"coolers","90","BASE COOLER TRUST YOZU STAND NOTEBOOK GXT278","Base cooler notebook","cooler-90.html","https://quantumhardstore.com/productos/base-cooler-trust-yozu-stand-notebook-gxt278-6igpq/","Base cooler notebook","False"
