"Categoria","Index","Title","Type","File","SourceUrl","ExcludeReason","Included"
"fuentes","1","AUREOX | 650W BRONZE 80+PSU","","psu-01.html","","","True"
"fuentes","2","FUENTE 600W RAIDMAX VORTEX 80 PLUS BRONZE GAMER","","psu-02.html","","","True"
"fuentes","3","FUENTE 600W RAIDMAX VORTEX 80 PLUS WHITE GAMER","","psu-03.html","","","True"
"fuentes","4","FUENTE 700W RAIDMAX VORTEX 80 PLUS BRONZE GAMER","","psu-04.html","","","True"
"fuentes","5","FUENTE 800W RAIDMAX VORTEX 80 PLUS WHITE GAMER","","psu-05.html","","","True"
"fuentes","6","Fuente ASUS ROG THOR 1000W PLATINUM III GAMING","","psu-06.html","","","True"
"fuentes","7","FUENTE ASUS TUF GAMING 1000W WHITE EDITION ATX 3.1 PCIE 5 80 PLUS GOLD","","psu-07.html","","","True"
"fuentes","8","Fuente ASUS TUF GAMING 750W GOLD","","psu-08.html","","","True"
"fuentes","9","FUENTE AUREOX 500W ARXE-500","","psu-09.html","","","True"
"fuentes","10","FUENTE COOLER MASTER ELITE GOLD 1000W FM (Full Modular)","","psu-10.html","","","True"
"fuentes","11","Fuente Cooler Master Elite Gold 1200W 80 Plus Full Modular A/AR Cord","","psu-11.html","","","True"
"fuentes","12","FUENTE COOLER MASTER ELITE GOLD 1200W FM (Full Modular)","","psu-12.html","","","True"
"fuentes","13","Fuente Cooler Master GX3 Gold 750W 80 Plus Full Modular ATX 3.0 A/AR Cord","","psu-13.html","","","True"
"fuentes","14","FUENTE COOLER MASTER X SILENT EDGE PLATINUM 850W (Full Modular)","","psu-14.html","","","True"
"fuentes","15","Fuente CROMAX KC-DAA-600 600W ATX 24 Pines","","psu-15.html","","","True"
"fuentes","16","Fuente de alimentacion Zebra CA 100-240 V para Zebra Connect Cradle","","psu-16.html","","","True"
"fuentes","17","FUENTE GAMER 550W RAIDMAX XTB","","psu-17.html","","","True"
"fuentes","18","FUENTE GAMER 650W RAIDMAX XTB","","psu-18.html","","","True"
"fuentes","19","FUENTE GAMER AUREOX 550W BRONZE 80+PSU","","psu-19.html","","","True"
"fuentes","20","FUENTE GAMER AUREOX 650W BRONZE 80+PSU","","psu-20.html","","","True"
"fuentes","21","FUENTE GAMER GIGABYTE 650W 80 PLUS GOLD","","psu-21.html","","","True"
"fuentes","22","FUENTE GAMER GIGABYTE 650W 80 PLUS SILVER ATX 3.0","","psu-22.html","","","True"
"fuentes","23","FUENTE GAMER GIGABYTE 650W ICE 80 PLUS SILVER ATX 3.0 WHITE","","psu-23.html","","","True"
"fuentes","24","FUENTE GAMER GIGABYTE 750W PG5 80 PLUS MODULAR GOLD","","psu-24.html","","","True"
"fuentes","25","FUENTE GAMER THERMALTAKE SMART BX3 650W 80 PLUS BRONZE","","psu-25.html","","","True"
"fuentes","26","FUENTE GAMER THERMALTAKE SMART BX3 750W 80 PLUS BRONZE","","psu-26.html","","","True"
"fuentes","27","FUENTE GAMER THERMALTAKE TP GF A3 1050W ANALOG 80 PLUS GOLD FULL MODULAR","","psu-27.html","","","True"
"fuentes","28","FUENTE GAMER THERMALTAKE TP GF A3 1200W ANALOG 80 PLUS GOLD FULL MODULAR","","psu-28.html","","","True"
"fuentes","29","FUENTE GAMER THERMALTAKE TP GT 750W ANALOG 80 PLUS GOLD","","psu-29.html","","","True"
"fuentes","30","FUENTE GAMER THERMALTAKE TP GT 750W ANALOG 80 PLUS GOLD WHITE","","psu-30.html","","","True"
"fuentes","31","FUENTE GAMER THERMALTAKE TR2 500W","","psu-31.html","","","True"
"fuentes","32","Fuente GIGABYTE UD850GM 80 Gold Modular PG5","","psu-32.html","","","True"
"fuentes","33","Fuente GIGABYTE UD850GM PG5 V2 80 Plus Gold Modula","","psu-33.html","","","True"
