categoria,index,title,slug,found,processed,status,notes
"coolers","1","Cooler Master Air Cooler Cooler Master Hyper 212 Spectrum V3 ARGB 120mm","001-cooler-master-air-cooler-cooler-master-hyper-212-spectrum-v3-argb-120mm","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","2","COOLER CPU COOLER MASTER V4 ALPHA 3DHP BLACK","002-cooler-cpu-cooler-master-v4-alpha-3dhp-black","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","3","MSI MSI AIO WATERCOOLER MAG CORELIQUID C240","003-msi-msi-aio-watercooler-mag-coreliquid-c240","2","2","needs_more_images","Faltan 1 imagenes"
"coolers","4","WATER COOLER THERMALTAKE LA360 ARGB SYNC ALL IN ONE BLACK","004-water-cooler-thermaltake-la360-argb-sync-all-in-one-black","2","2","needs_more_images","Faltan 1 imagenes"
"coolers","5","CPU COOLER PEERLESS ASSASIN 120 SE ARGB (OUTLET)","005-cpu-cooler-peerless-assasin-120-se-argb-outlet","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","7","CPU COOLER THERMALTAKE ASTRIA 400 AIR 6 PIPE SYNC","007-cpu-cooler-thermaltake-astria-400-air-6-pipe-sync","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","8","EVOLABS AIO WATERCOOLER CRYOGENE 120","008-evolabs-aio-watercooler-cryogene-120","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","9","EVOLABS AIO WATERCOOLER CRYOGENE SUPREME 240","009-evolabs-aio-watercooler-cryogene-supreme-240","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","10","EVOLABS CPU COOLER CRYO PRO 4H","010-evolabs-cpu-cooler-cryo-pro-4h","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","11","EVOLABS AIO WATERCOOLER CRYOGENE SUPREME 360","011-evolabs-aio-watercooler-cryogene-supreme-360","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","12","WATER COOLER CPU RAIDMAX INFINITA LS240 ARGB WHITE","012-water-cooler-cpu-raidmax-infinita-ls240-argb-white","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","15","WATER COOLER CPU RAIDMAX INFINITA LS240 ARGB BLACK","015-water-cooler-cpu-raidmax-infinita-ls240-argb-black","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","16","AHORRÃS","016-ahorra-s","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","17","Water Cooler ASUS TUF GAMING LC III 360 ARGB","017-water-cooler-asus-tuf-gaming-lc-iii-360-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","18","WATER COOLER ASUS ROG RYUJIN III 360 ARGB EXTREME","018-water-cooler-asus-rog-ryujin-iii-360-argb-extreme","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","19","WATER COOLER ASUS ROG RYUJIN III 360 ARGB EXTREME WHITE","019-water-cooler-asus-rog-ryujin-iii-360-argb-extreme-white","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","20","WATER COOLER ASUS ROG STRIX LC III 360 ARGB","020-water-cooler-asus-rog-strix-lc-iii-360-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","21","WATER COOLER ASUS ROG STRIX LC III 360 ARGB WHITE","021-water-cooler-asus-rog-strix-lc-iii-360-argb-white","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","22","WATER COOLER ASUS ROG RYUO IV 360 ARGB MIKU EDITION","022-water-cooler-asus-rog-ryuo-iv-360-argb-miku-edition","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","23","Water Cooler ASUS ROG RYUJIN III 360 ARGB EXTREME","023-water-cooler-asus-rog-ryujin-iii-360-argb-extreme","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","24","COOLER NZXT AIRFLOW SERIES FZ-200 BLUE","024-cooler-nzxt-airflow-series-fz-200-blue","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","26","COOLER FAN 120mm ARGB PMW RAIDMAX X-AIR WHITE","026-cooler-fan-120mm-argb-pmw-raidmax-x-air-white","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","27","COOLER FAN 120mm ARGB PMW RAIDMAX X-AIR BLACK","027-cooler-fan-120mm-argb-pmw-raidmax-x-air-black","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","28","COOLER FAN 120mm ARGB PMW RAIDMAX INFINITA-AIR WHITE","028-cooler-fan-120mm-argb-pmw-raidmax-infinita-air-white","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","29","COOLER FAN 120mm ARGB PMW RAIDMAX INFINITA-AIR BLACK","029-cooler-fan-120mm-argb-pmw-raidmax-infinita-air-black","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","30","Water Cooler CM Masterliquid 360 Atmos II VRM Fan ARGB","030-water-cooler-cm-masterliquid-360-atmos-ii-vrm-fan-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","31","Water Cooler CM Masterliquid 360 Atmos II White","031-water-cooler-cm-masterliquid-360-atmos-ii-white","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","32","Water Cooler CM Masterliquid 360 Atmos II ARGB","032-water-cooler-cm-masterliquid-360-atmos-ii-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","33","Water Cooler CM Masterliquid 360 Atmos II Pixel LED","033-water-cooler-cm-masterliquid-360-atmos-ii-pixel-led","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","34","WATER COOLER MASTER MASTERLIQUID 360 ATMOS II LCD ARGB","034-water-cooler-master-masterliquid-360-atmos-ii-lcd-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","35","Water Cooler CM Masterliquid 240 Atmos II VRM Fan ARGB","035-water-cooler-cm-masterliquid-240-atmos-ii-vrm-fan-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","36","Water Cooler Cooler Master Masterliquid 240 Atmos II ARGB","036-water-cooler-cooler-master-masterliquid-240-atmos-ii-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","37","Water Cooler CM Masterliquid 240 Atmos II Pixel LED","037-water-cooler-cm-masterliquid-240-atmos-ii-pixel-led","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","38","WATER COOLER MASTER MASTERLIQUID 240 ATMOS II LCD ARGB","038-water-cooler-master-masterliquid-240-atmos-ii-lcd-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","39","WATER COOLER MASTER MASTERLIQUID 240 CORE NEX ARGB BLANCO","039-water-cooler-master-masterliquid-240-core-nex-argb-blanco","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","40","WATER COOLER MASTER MASTERLIQUID 240 CORE NEX ARGB","040-water-cooler-master-masterliquid-240-core-nex-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","41","Water Cooler CM MasterLiquid 360 Core II White Edition","041-water-cooler-cm-masterliquid-360-core-ii-white-edition","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","42","Water Cooler CM Masterlliquid 360 Core II ARGB Black","042-water-cooler-cm-masterlliquid-360-core-ii-argb-black","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","43","Water Cooler CM MasterLiquid 240 Core II White Edition","043-water-cooler-cm-masterliquid-240-core-ii-white-edition","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","48","Fan Cooler Cooler Master Mobius 120P ARGB White Ed","048-fan-cooler-cooler-master-mobius-120p-argb-white-ed","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","50","Fan Cooler Master SickleFlow Edge 120 ARGB Black","050-fan-cooler-master-sickleflow-edge-120-argb-black","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","51","Fan Cooler Master MF120 Lite ARGB White","051-fan-cooler-master-mf120-lite-argb-white","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","52","Fan Cooler CM MF120 Lite ARGB White 3-Pack 120mm","052-fan-cooler-cm-mf120-lite-argb-white-3-pack-120mm","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","55","COOLER CPU COOLER MASTER HYPER 212 3DHP BLACK ARGB","055-cooler-cpu-cooler-master-hyper-212-3dhp-black-argb","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","56","WATER COOLER CPU RAIDMAX LM360 RGB LCD DISPLAY BLACK","056-water-cooler-cpu-raidmax-lm360-rgb-lcd-display-black","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","57","INTEL COOLER CPU ORIGINAL COBRE LGA1200","057-intel-cooler-cpu-original-cobre-lga1200","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","59","Liquid Cooler GIGABYTE GAMING 240","059-liquid-cooler-gigabyte-gaming-240","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","60","WATER COOLER GIGABYTE GAMING 240I (WHITE)","060-water-cooler-gigabyte-gaming-240i-white","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","63","WATER COOLER THERMALTAKE LA360-S ARGB SYNC ALL IN ONE BLACK","063-water-cooler-thermaltake-la360-s-argb-sync-all-in-one-black","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","64","WATER COOLER THERMALTAKE TH240 V2 ULTRA EX ARGB SYNC WATER BLOCK SNOW EDITION","064-water-cooler-thermaltake-th240-v2-ultra-ex-argb-sync-water-block-snow-edition","1","1","needs_more_images","Faltan 2 imagenes"
